sha256,size,vsize,imports,exports,has_debug,has_relocations,has_resources,has_signature,has_tls,symbols,numstrings,paths,urls,registry,MZ,printables,avlength,file_type_prob_trid,A,B,C,file_type_trid,predicted_label
038e71f41fdc5edb3a7afc112fb0679a4a5d6d94512055989d4ec424b0180c8d,3091456,118784.0,124.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,13421.0,12.0,0.0,0.0,9.0,148608.0,11.07279636,24.1,-1.713507209,6.103680025,vh,InstallShield setup,0
c290de562a688eec1deede227356ce8daa8987721570bc8e70ee1e954c47c41f,2260953,1912832.0,17.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,7762.0,0.0,9.0,0.0,11.0,1409629.0,181.6064159,33.1,3.747651563,5.045847743,gow,InstallShield setup,1
5349c232421e9569992f995158442add8053a9189dea7d36520519502fc2e314,1519616,33681408.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5951.0,0.0,2.0,0.0,1.0,54449.0,9.149554697,64.5,-1.348143743,5.022775173,vh,Win32 Executable MS Visual C++ (generic),0
4967f1a3b03ecf9a7a1ba4d6698f403ffc145de3fa6ac1d29a38e52c918a5892,346112,380928.0,1532.0,950.0,0.0,1.0,0.0,0.0,0.0,0.0,1767.0,0.0,0.0,0.0,1.0,47376.0,26.81154499,38.3,3.176522736,5.391345978,mc,Win32 Dynamic Link Library (generic),0
511312bd51fe5580546ab20d0d4a509f7835eb60b3b4876e92e583a7548a9790,7680,24576.0,53.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,3.0,1666.0,15.42592593,43.5,9.506738707,5.536944389,cs,Win32 Dynamic Link Library (generic),0
739a4becf08b2c4dfb935d9edb2273605fb584d03a51d3f96127729edd4e62df,373760,401408.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3762.0,0.0,0.0,0.0,1.0,128707.0,34.21238703,88.6,2.597700124,4.927500839,gow,Generic .NET DLL/Assembly,0
0df68d103c8652263196acb6bf908eb1977da66b955fb4b2861c1687d493b8d6,1044814,1245184.0,434.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3753.0,0.0,0.0,0.0,6.0,44374.0,11.82360778,35.0,-3.907732436,5.994050026,vh,Win32 Executable MS Visual C++ (generic),1
3398d30e4b1df3f7b13730aaf8533407b7d4bb70f3dc82e49658da8d50b6ba93,307037,794624.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2043.0,0.0,0.0,0.0,2.0,14150.0,6.926089085,87.8,1.129431348,6.504673004,cs,AutoIt3 compiled script executable,1
f0133e857368c9463760aab392fa041e6a52014c5ac602c61a2502f1a6ecc95b,89600,110592.0,14.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,449.0,0.0,0.0,0.0,4.0,15907.0,35.42761693,33.6,5.638029818,1.722157717,bf,OS/2 Executable (generic),1
90cbcbddb33355145a65d5e9134737d2e46cfc0bc9422b94a470d6574821865a,7496192,7544832.0,586.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,71103.0,0.0,0.0,0.0,42.0,919627.0,12.93372994,61.4,5.810741197,5.825804694,cs,Win32 EXE PECompact compressed (generic),1
